id,label,FC,threshold,baseline,FC_michelson,threshold_michelson,baseline_michelson
107,400,0.0550614888887524,0.01197851419973722,0.0137653722221881,0.027,0.006,0.007
107,200,0.0275307444443762,0.008252668839855577,0.0137653722221881,0.014,0.004,0.007
107,000,0.0,0.021084588891689137,0.0137653722221881,0.0,0.01,0.007
107,100,0.0137653722221881,0.016150467694128538,0.0137653722221881,0.007,0.008,0.007
107,800,0.1101229777775048,0.012666355300402202,0.0137653722221881,0.052,0.006,0.007
106,400,0.07461949288718,0.015681498188191333,0.018654873221795,0.036,0.008,0.009
106,200,0.03730974644359,0.013446927664552384,0.018654873221795,0.018,0.007,0.009
106,000,0.0,0.022285101531317412,0.018654873221795,0.0,0.011,0.009
106,100,0.018654873221795,0.0159684485436333,0.018654873221795,0.009,0.008,0.009
106,800,0.1492389857743601,0.015711283632980567,0.018654873221795,0.069,0.008,0.009
