"id","label","FC_michelson","TC_f","responseRate","weights","FC_michelson_c","baseline"
"106","000",0,"Low",0,5,-0.0230314136125654,0.009
"106","000",0,"Medium",0.28,75,-0.0230314136125654,0.009
"106","000",0,"High",0.802816901408451,71,-0.0230314136125654,0.009
"106","100",0.009,"Low",0.195652173913043,46,-0.0140314136125654,0.009
"106","100",0.009,"Medium",0.597560975609756,82,-0.0140314136125654,0.009
"106","100",0.009,"High",0.92,25,-0.0140314136125654,0.009
"106","200",0.018,"Low",0.340659340659341,91,-0.00503141361256545,0.009
"106","200",0.018,"Medium",0.75,56,-0.00503141361256545,0.009
"106","200",0.018,"High",1,10,-0.00503141361256545,0.009
"106","400",0.036,"Low",0.272727272727273,55,0.0129685863874346,0.009
"106","400",0.036,"Medium",0.594936708860759,79,0.0129685863874346,0.009
"106","400",0.036,"High",1,20,0.0129685863874346,0.009
"106","800",0.069,"Low",0.105263157894737,38,0.0459685863874346,0.009
"106","800",0.069,"Medium",0.623376623376623,77,0.0459685863874346,0.009
"106","800",0.069,"High",0.8,30,0.0459685863874346,0.009
"107","000",0,"Low",0.307692307692308,13,-0.0230314136125654,0.007
"107","000",0,"Medium",0.364864864864865,74,-0.0230314136125654,0.007
"107","000",0,"High",0.757575757575758,66,-0.0230314136125654,0.007
"107","100",0.007,"Low",0.313725490196078,51,-0.0160314136125654,0.007
"107","100",0.007,"Medium",0.571428571428571,63,-0.0160314136125654,0.007
"107","100",0.007,"High",0.777777777777778,36,-0.0160314136125654,0.007
"107","200",0.014,"Low",0.476190476190476,126,-0.00903141361256545,0.007
"107","200",0.014,"Medium",0.611111111111111,18,-0.00903141361256545,0.007
"107","200",0.014,"High",0.909090909090909,11,-0.00903141361256545,0.007
"107","400",0.027,"Low",0.416666666666667,108,0.00396858638743455,0.007
"107","400",0.027,"Medium",0.72972972972973,37,0.00396858638743455,0.007
"107","400",0.027,"High",0.909090909090909,11,0.00396858638743455,0.007
"107","800",0.052,"Low",0.419354838709677,93,0.0289685863874346,0.007
"107","800",0.052,"Medium",0.638297872340426,47,0.0289685863874346,0.007
"107","800",0.052,"High",0.928571428571429,14,0.0289685863874346,0.007
